Token,Item Name,Customer-facing Name,Variation Name,Unit and Precision,SKU,Description,Categories,Reporting Category,SEO Title,SEO Description,Permalink,GTIN,Square Online Item Visibility,Item Type,Weight (kg),Social Media Link Title,Social Media Link Description,Shipping Enabled,Self-serve Ordering Enabled,Delivery Enabled,Pickup Enabled,Price,Online Sale Price,Archived,Sellable,Contains Alcohol,Stockable,Skip Detail Screen in POS,Option Name 1,Option Value 1,Option Name 2,Option Value 2,Current Quantity DS Racing Karts,New Quantity DS Racing Karts,Stock Alert Enabled DS Racing Karts,Stock Alert Count DS Racing Karts
CZLWAFTPUUM5R4BEZYOJQ7FG,Accelerator Cable (Inner) - Ball End,,Regular,,ACK114,Experience the durability of our Accelerator Cable (Inner) - Ball End for smooth operation and easy installation. Upgrade your vehicle with this high-quality component today!,Engines & Accessories (F4JY4IE5D7DNSEYZ653TJ3G2),Engines & Accessories (F4JY4IE5D7DNSEYZ653TJ3G2),,,,,visible,Physical good,,,,Y,N,N,Y,12.00,,N,,N,,N,,,,,21,,,
JOXRS2KNCDZROXS5AEQH7WZI,"Accelerator Cable - Stainless, Barrel End",,Regular,,8009852-2,1.6mm x 2000mm,,,,,,,visible,Physical good,,,,Y,N,N,Y,6.50,,N,,N,,N,,,,,45,,,
M2AO3XIO7OBEMDBD6VKR4TRX,Accelerator Cable - Universal,,Regular,,ACTCANB,Teflon Lined,Chassis Components (Q7QJKZHWV2IIE6JWJLKXBVQE),Chassis Components (Q7QJKZHWV2IIE6JWJLKXBVQE),,,,,visible,Physical good,,,,Y,,,Y,8.50,,N,,,,N,,,,,9,,,
LWA6EQHQOB2WHJCLF36L7ZBF,Accelerator Cable Clamps (Black),,Regular,,CCAN,Aluminium,Engines & Accessories (F4JY4IE5D7DNSEYZ653TJ3G2),Engines & Accessories (F4JY4IE5D7DNSEYZ653TJ3G2),,,,,visible,Physical good,,,,Y,N,Y,Y,5.00,,N,,,,N,,,,,42,,,
43FP5SJ4JKD72ACSE2NSFAW6,Accelerator Outer Cable,,Regular,Meter 1,ACK116N,Accelerator Outer Cable,"Miscellaneous (3IYXXF7QTFVW5EQKDH2Q33J5), Miscellaneous (GSB4HAMV3WRXWUCBSXEWPJTB)",Miscellaneous (GSB4HAMV3WRXWUCBSXEWPJTB),,,,,visible,Physical good,,,,Y,N,N,Y,7.00,,N,,,,N,,,,,23,,,
HYF2QHT76EDWECQV7CQ6SF7K,Air Cleaner (Honda GX200),,Regular,,17210-Z4M-821,Air Cleaner,,,,,,,visible,Physical good,,,,Y,N,N,Y,15.70,,N,,,,N,,,,,2,,,
RBRFD2AFA4PFV7NXB2GHGCZG,Air Cleaner Bolt Stud (Honda GX200),,Regular,,90043-ZE1-020,Bolt,"Engines & Accessories (OZI7AYCANAUJXZXWUGOTK6RM), Engines & Accessories > Honda GX200 (OFSMYPVR5D25ABCUEIZX4EOR), Honda GX200, Nuts\, Bolts & Washers (43POBFD6SEPQIZSCEC7HRAKL)",Honda GX200,,,,,visible,Physical good,,,,Y,N,N,Y,8.36,,N,,,,N,,,,,7,,,
GJYZ7YB575OMQGMO2Q7VWHM7,Air Cleaner Outers (Honda - GX200),,Regular,,17218-ZE1-821,Air Cleaner Outers (Honda - GX200),"Engines & Accessories (OZI7AYCANAUJXZXWUGOTK6RM), Engines & Accessories > Honda GX200 (OFSMYPVR5D25ABCUEIZX4EOR), Honda GX200",Honda GX200,,,,,visible,Physical good,,,,Y,,Y,Y,15.79,,N,,,,N,,,,,6,,,
6BXPITFHXHLDVVQREJTDLZE5,Air Cleaners (Honda - GX200),,Regular,,17210-ZE1-505,Air Cleaners (Honda - GX200),"Engines & Accessories (OZI7AYCANAUJXZXWUGOTK6RM), Engines & Accessories > Honda GX200 (OFSMYPVR5D25ABCUEIZX4EOR), Honda GX200",Honda GX200,,,,,visible,Physical good,,,,Y,N,Y,Y,19.35,,N,,,,N,,,,,-1,,,
VT4SET6HFNQPKPHLWTXM7SW4,Airbox (Honda - GX200),,Regular,,172-31Z4-M010,Airbox (Honda - GX200),"Engines & Accessories > Honda GX200 (OFSMYPVR5D25ABCUEIZX4EOR), Honda GX200",Honda GX200,,,,,visible,Physical good,,,,Y,N,Y,Y,37.40,,N,,,,N,,,,,2,,,
KHMXV74VYOC7H2DEDNHDFXRS,Airbox Silencer (Honda - GX200),,Regular,,172-35ZCW-930,Airbox Silencer (Honda - GX200),"Engines & Accessories (OZI7AYCANAUJXZXWUGOTK6RM), Engines & Accessories > Honda GX200 (OFSMYPVR5D25ABCUEIZX4EOR), Honda GX200",Honda GX200,,,,,visible,Physical good,,,,Y,N,Y,Y,22.83,,N,,,,N,,,,,3,,,
OB46V6B4CFL4TABL2BN6N7KT,Alfano 6T 1T Datalogger,,Regular,,T.A1055,Alfano,"Miscellaneous (3IYXXF7QTFVW5EQKDH2Q33J5), Miscellaneous (GSB4HAMV3WRXWUCBSXEWPJTB)",Miscellaneous (GSB4HAMV3WRXWUCBSXEWPJTB),,,,,visible,Physical good,,,,Y,,N,Y,740.00,,N,,,,N,,,,,0,,,
O5OEYVWQVOONZHGF6ZROSAN5,Alfano USB Charging Cable,,Regular,,T..A4510,USB Charging Cable - Alfano,Miscellaneous (3IYXXF7QTFVW5EQKDH2Q33J5),Miscellaneous (3IYXXF7QTFVW5EQKDH2Q33J5),,,,,visible,Physical good,,,,Y,,,Y,90.00,,N,,N,,N,,,,,,,,
N3AXYX2MWULPB7VPAX72FUHM,Alpinestars Boots Tech-1 K V2 Red | Black | White Sz 11,,Regular,Pair 1,AS2712022312011,,Racewear (VCTRA6ILWML5ABYDPKURYLQK),Racewear (VCTRA6ILWML5ABYDPKURYLQK),,,,,visible,Physical good,,,,Y,,,Y,210.00,,N,,,,N,,,,,0,,,
27MXQIB2SI5IJRR344YBFWNO,Alpinestars Glove Tech-1 K Race V2 Corporate Red | Black,,Small,Pair 1,AS35520233111S,Alpinestars Gloves,Racewear (VCTRA6ILWML5ABYDPKURYLQK),Racewear (VCTRA6ILWML5ABYDPKURYLQK),,,,,,Physical good,,,,N,N,N,N,85.00,,N,,,,N,Size,Small,,,,,,
GU4TMLQWPLO7MN6V4RUM3CXU,Alpinestars Glove Tech-1 K Race V2 Corporate Red | Black,,Medium,Pair 1,AS35520233111M,,Racewear (VCTRA6ILWML5ABYDPKURYLQK),Racewear (VCTRA6ILWML5ABYDPKURYLQK),,,,,,Physical good,,,,,,,,85.00,,N,,,,N,Size,Medium,,,,,,
53F4PPBPF4F672WBEFX7B326,Alpinestars Glove Tech-1 K Race V2 Corporate Red | Black,,Large,Pair 1,AS35520233111L,,Racewear (VCTRA6ILWML5ABYDPKURYLQK),Racewear (VCTRA6ILWML5ABYDPKURYLQK),,,,,,Physical good,,,,,,,,85.00,,N,,,,N,Size,Large,,,,,,
PY5VLKQ4PEG7472Y44IKI7VP,Alpinestars Glove Tech-1 K Race V2 Corporate Red | Black,,X Large,,AS35520233111XL,,Racewear (VCTRA6ILWML5ABYDPKURYLQK),Racewear (VCTRA6ILWML5ABYDPKURYLQK),,,,,,Physical good,,,,,,,,85.00,,N,,,,N,Size,X Large,,,,,,
66EV2HTZCUADJNFFYFCSSWCB,Alpinestars Glove Tech-1 K Race V2 Corporate Red | Black,,2X Large,Pair 1,AS355202331112XL,,Racewear (VCTRA6ILWML5ABYDPKURYLQK),Racewear (VCTRA6ILWML5ABYDPKURYLQK),,,,,,Physical good,,,,,,,,85.00,,N,,,,N,Size,2X Large,,,,,,
G63XDDWKASZCQ3MB6AIL5QMC,Aluminium Seat Washer Large - 60x2mm Black,,Regular,,SEK102N,Washer,"Nuts\, Bolts & Washers (SXNZBI6CGLBD6525L7E63RAW)","Nuts\, Bolts & Washers (SXNZBI6CGLBD6525L7E63RAW)",,,,,unavailable,Physical good,,,,N,N,N,N,4.00,,N,,,,N,,,,,-4,,,
KMXUAWKBYMSVIKN4ESMQ5YUY,Arai Helmet SK-6 White (XL) 61-61,,Regular,,ARSK65XL,Helmet,Racewear (VCTRA6ILWML5ABYDPKURYLQK),Racewear (VCTRA6ILWML5ABYDPKURYLQK),,,,,visible,Physical good,,,,Y,N,N,Y,920.00,,N,,,,N,,,,,,,,
YPYFMHH6RYIEO62QJLWG46RG,Arai Visor SK6 Mirrorised Blue,,Regular,,AAH011349,Suit SK6 Helmet,Racewear (VCTRA6ILWML5ABYDPKURYLQK),Racewear (VCTRA6ILWML5ABYDPKURYLQK),,,,,visible,Physical good,,,,Y,N,N,Y,215.00,,N,,,,N,,,,,0,,,
2JAQH4OL3SDJ2GO7IJMN6MJR,Arrow Kart X7 Cadet,,Regular,,XX7C,"<strong>FEATURES:</strong><br/><ul><li><strong>DPE’s unique billet adjustable heel rest system and two pedal mounting positions, ensuring optimum comfort for all size drivers</strong></li><li><strong>Unique design camber/caster adjuster system, and adjustable front ride height</strong></li><li><strong>Black Tecno wheels</strong></li><li><strong>KG MK20/MK27 bodywork with matte chrome Arrow graphics kit</strong></li><li><strong>High grip steering wheel compatible with Alfano &amp; Mychron units</strong></li><li><strong>Radially mounted black anodised billet alloy brake caliper</strong></li><li><strong>Improved hydraulic ratio master cylinder </strong></li><li><strong>Adjustable rear ride height</strong></li><li><strong>3.5L fuel tank</strong></li><li><strong>Enclosed chain guard</strong></li><li><strong>Flat top sliding engine mount system</strong></li><li><strong>KG Hulk 1 piece rear bumper</strong></li></ul><strong>CUSTOMISATION &amp; SERVICES AVAILABLE:</strong><br/><ul><li><a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://dpekartsuperstore.com/products/customisation-options""><strong>Black chassis colour</strong></a></li><li><a target=""_blank"" rel=""noopener noreferrer nofollow"" href=""https://dpekartsuperstore.com/products/dpe-assembly-well-assemble-fit-it-for-you""><strong>Assembly &amp; Seat Fitting</strong></a></li></ul><strong>Please note: Images used for illustrative purposes only, and there may be slight differences or changes to specifications or features.</strong><br/>",,,,,,,visible,Physical good,,,,Y,N,N,Y,4200.00,,N,,N,,N,,,,,,,,
7PQAHLK6LHNMSHL3LCJWRXWA,Axle - 40mm x 1060mm Type N Medium,,Regular,,V.0054.D0106.40N,Axle,"Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN), Axles & Components (S2M2EB2IENRFNFD6U5TNJJI3)",Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),,,,,visible,Physical good,,,,Y,N,N,Y,341.00,,N,,,,N,,,,,0,,,
R2AAUBPCD5VVTPIPWBBFL2P4,Axle - 40x3x1050 Medium,,Regular,,AX40DM1-B,"Kartech
Key is AXK8P4-3","Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN), Axles & Components (S2M2EB2IENRFNFD6U5TNJJI3)",Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),,,,,visible,Physical good,,,,Y,,,Y,253.00,,N,,,,N,,,,,0,,,
QOYYWJ273F4GIITOKDDPQV2O,Axle Bearing - 30mm,,Regular,,AXB30,Kartech,Bearings (BNXLNJXTPQLEBI2TG4RRSPV2),Bearings (BNXLNJXTPQLEBI2TG4RRSPV2),,,,,visible,Physical good,,,,Y,N,N,Y,27.00,,N,,,,N,,,,,8,,,
M3E4IA7PI7QTP5PGVU4WEGWG,Axle Bearing - 50mm,,Regular,,,Bearing,Bearings (OYPUSSXELUZN3NGEUT3BVODT),Bearings (OYPUSSXELUZN3NGEUT3BVODT),,,,,visible,Physical good,,,,Y,,,Y,33.00,,N,,N,,N,,,,,,,,
THZI5FK27HHCYNLDF6TKMGAL,Axle Collar - 30mm,,Regular,,LC-30,Aluminium,"Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN), Axles & Components (S2M2EB2IENRFNFD6U5TNJJI3)",Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),,,,,visible,Physical good,,,,Y,N,Y,Y,27.50,,N,,,,N,,,,,-6,,,
DSELPERET643BDU2Y6NB7YMF,Axle Collar - 30mm (Set),,Regular,,AXLCK30,Kartech,Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),,,,,visible,Physical good,,,,Y,N,N,Y,63.00,,N,,N,,N,,,,,10,,,
YHYARR6VY2JVEKARKC2E2R6B,Axle Collar Set 40mm,,Regular,,AXLCK40,Kartech,Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),,,,,visible,Physical good,,,,Y,N,N,Y,60.00,,N,,,,N,,,,,0,,,
QVRXMFDCTYALLKT7FTNTRCYV,Axle Key - 6mm Diam 2 Pegs,,Regular,,AKK485,Pegged Key,"Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN), Axles & Components (S2M2EB2IENRFNFD6U5TNJJI3)",Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),,,,,visible,Physical good,,,,Y,N,N,Y,13.50,,N,,,,N,,,,,3,,,
YKPYB6E7NT3DVAURHBAKWUYZ,Axle Key 8x5x60mm,,Regular,,V.0057.00,Otk,"Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN), Axles & Components (S2M2EB2IENRFNFD6U5TNJJI3)",Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),,,,,visible,Physical good,,,,Y,N,N,Y,6.00,,N,,,,N,,,,,6,,,
BQ4KE2WI4MOBWYEWBZ6XQGKJ,Axle Rear 30mm Hollow,,Regular,,AXPKH30B,Axle Rear 30mm Hollow,"Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN), Axles & Components (S2M2EB2IENRFNFD6U5TNJJI3)",Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),,,,,visible,Physical good,,,,Y,N,N,Y,242.00,,N,,,,N,,,,,0,,,
TUQAA6FVK427FWTLPTW6P2JE,Axle Rear 30mm Solid - DSR Made,,Regular,,K230A,Axle Rear 30mm Solid,"Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN), Axles & Components (S2M2EB2IENRFNFD6U5TNJJI3)",Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),,,,,visible,Physical good,,,,Y,N,N,Y,250.00,,N,,,,N,,,,,10,,,
6TD7BSNLZ3EQ7GMSFUH2NFAA,Ball Bearing 25x37x7 Rubber Seal,,Regular,,6805-2RS,Ball Bearing,"Bearings (BNXLNJXTPQLEBI2TG4RRSPV2), Bearings (OYPUSSXELUZN3NGEUT3BVODT)",Bearings (BNXLNJXTPQLEBI2TG4RRSPV2),,,,,visible,Physical good,,,,Y,N,N,Y,8.25,,N,,,,N,,,,,10,,,
X5R4BFVRZYBDKMJ4LQWPIZHQ,Ball Bearing 25x42x9 Metal Shield,,Regular,,6905ZZ,Ball Bearing,"Bearings (BNXLNJXTPQLEBI2TG4RRSPV2), Bearings (OYPUSSXELUZN3NGEUT3BVODT)",Bearings (BNXLNJXTPQLEBI2TG4RRSPV2),,,,,visible,Physical good,,,,Y,N,N,Y,8.80,,N,,,,N,,,,,0,,,
5WBQCSYJCHBVPQURDHXUSPAK,Ball Brg Metal Shield - 10x26x8,,Regular,,6000ZZ-C3-J,Japan Made,Bearings (BNXLNJXTPQLEBI2TG4RRSPV2),Bearings (BNXLNJXTPQLEBI2TG4RRSPV2),,,,,visible,Physical good,,,,Y,N,N,Y,3.00,,N,,N,,N,,,,,50,,,
NMVC6TCQ76QENVALD2DNXCFN,Battery Cut Off Cable Kit,,Regular,,SQBCCK,Sparco,"Car Racing (B6TDNQPZXUTQ45XWBMH362RI), Car Racing (TQJKR55CRENPRVU5JJ4YBTS5)",Car Racing (TQJKR55CRENPRVU5JJ4YBTS5),,,,,visible,Physical good,,,,Y,N,N,Y,79.20,,N,,N,,N,,,,,1,,,
QRFUR6EUST2PH4HBNBGTLFS4,Battery Pull Starter Isolation Switch,,Regular,,SQ8CCK,Isolation Switch,Car Racing (TQJKR55CRENPRVU5JJ4YBTS5),Car Racing (TQJKR55CRENPRVU5JJ4YBTS5),,,,,visible,Physical good,,,,Y,N,N,Y,72.00,,N,,N,,N,,,,,-1,,,
ATNPVYGAVOZFQBJVUGRJBS4M,Bearing - Stub Axle 8mm,,Regular,,608Z,Stub Axle Bearing,"Bearings (BNXLNJXTPQLEBI2TG4RRSPV2), Bearings (OYPUSSXELUZN3NGEUT3BVODT), Stub Axles & Accessories (A46YDZSY2G2N3TG77L323Z2W)",Bearings (BNXLNJXTPQLEBI2TG4RRSPV2),,,,,visible,Physical good,,,,Y,N,N,Y,3.85,,N,,,,N,,,,,20,,,
DN3V5SQSTM3UCMSYTEOOEVCO,Bearing Carrier - 30mm 2 piece Billet,,Regular,,BC30-B,Bearing Carrier - 30mm 2 piece Billet,"Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN), Axles & Components (S2M2EB2IENRFNFD6U5TNJJI3)",Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),,,,,visible,Physical good,,,,Y,N,N,Y,70.00,,N,,,,N,,,,,11,,,
MGTNPXYMVIXLTFIR263ECIQU,Bearing Carrier - 40mm Anodised Black,,Regular,,BC40-B,Bearing Carrier,Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),Axles & Components (QMZTH6CXXWB6PQ7GECPNVDCN),,,,,visible,Physical good,,,,Y,N,N,Y,69.30,,N,,,,N,,,,,2,,,
3W3F6EFN4EOFFAZAYEKHB2DQ,Bearing Carrier 30mm Anodised Black,,Regular,,,Bearing Carrier 30mm,,,,,,,visible,Physical good,,,,Y,N,N,Y,69.30,,N,,,,N,,,,,3,,,
3PF23Z3RBESRBLEUZ5NVLVP5,Bearings - Axle 40mm,,Regular,,SB208ZZ-KART,Go Kart Special PS2,"Bearings (BNXLNJXTPQLEBI2TG4RRSPV2), Bearings (OYPUSSXELUZN3NGEUT3BVODT)",Bearings (BNXLNJXTPQLEBI2TG4RRSPV2),,,,,visible,Physical good,,,,Y,N,N,Y,22.00,,N,,,,N,,,,,6,,,
C654HSQJ6QU6UXVXXJDRHUBC,Bearings - Stub Axle 10mm,,Regular,,6000-B-2Z-L038C3,Stub Axle Bearings,"Bearings (BNXLNJXTPQLEBI2TG4RRSPV2), Bearings (OYPUSSXELUZN3NGEUT3BVODT), Stub Axles & Accessories (A46YDZSY2G2N3TG77L323Z2W)",Bearings (BNXLNJXTPQLEBI2TG4RRSPV2),,,,,visible,Physical good,,,,Y,N,Y,Y,3.85,,N,,,,N,,,,,-27,,,
QK7SDZO5NLWVLGQB7SEJ7HIL,Belt Fixing Plate with Welded Nuts,,Regular,,SQ4502,Sparco,"Car Racing (B6TDNQPZXUTQ45XWBMH362RI), Car Racing (TQJKR55CRENPRVU5JJ4YBTS5)",Car Racing (TQJKR55CRENPRVU5JJ4YBTS5),,,,,visible,Physical good,,,,Y,N,N,Y,7.00,,N,,N,,N,,,,,4,,,
M6FHNJAHC2IVQJUQU32RYFSX,Billet Master Cylinder,,Regular,,MCBA19-BB,"19mm Bore, Anodised Black with fittings for braided line","Brakes & Components (53FLOZODZHPYGPD7K47WR7HN), Brakes & Components (PW4TLN4EDXHANK3MPDNEXNPV)",Brakes & Components (53FLOZODZHPYGPD7K47WR7HN),,,,,visible,Physical good,,,,Y,N,N,Y,220.00,,N,,N,,N,,,,,5,,,
C5NPSWXLAEX7VXE7Y7V2PTNA,Bolts - Brake Disc,,Regular,,BNL6CN,Kartech brake disc hub bolts,Brakes & Components (PW4TLN4EDXHANK3MPDNEXNPV),Brakes & Components (PW4TLN4EDXHANK3MPDNEXNPV),,,,,visible,Physical good,,,,Y,,,Y,1.00,,N,,N,,N,,,,,,,,
AEU3HC4HIRZGJQQY3UXED7ON,Bowl Gasket,,Regular,,23TC25037,Torini,Torini,Torini,,,,,visible,Physical good,,,,Y,N,N,Y,5.00,,N,,,,N,,,,,0,,,
RPHDQ6J7GXK5VFI33CRZ6Y6B,Bracket Kit for Q/R Tank - Black,,Regular,,FCK858N,Bracket Kit,"Fuel Tank & Accessories (6FYF3SXPXXPFO2JETSWXGW5N), Fuel Tank & Accessories (WZMJVOESH3V7QH4R3W3OVRQT)",Fuel Tank & Accessories (6FYF3SXPXXPFO2JETSWXGW5N),,,,,visible,Physical good,,,,Y,,N,Y,18.70,,N,,,,N,,,,,4,,,
CXX25UYTMNMASUU6H62TENOU,Braided Line (Made to Measure),,700mm,,HLB-700,Braided Line (Made to Measure),"Brakes & Components (53FLOZODZHPYGPD7K47WR7HN), Brakes & Components (PW4TLN4EDXHANK3MPDNEXNPV)",Brakes & Components (53FLOZODZHPYGPD7K47WR7HN),,,,,visible,Physical good,,,,Y,N,N,Y,37.00,,N,,N,,N,Line Length,700mm,,,0,,,
HZPJUJYZ4MZMTKZLD3JMYXYJ,Braided Line (Made to Measure),,800mm,,HLB-800,,"Brakes & Components (53FLOZODZHPYGPD7K47WR7HN), Brakes & Components (PW4TLN4EDXHANK3MPDNEXNPV)",Brakes & Components (53FLOZODZHPYGPD7K47WR7HN),,,,,visible,Physical good,,,,,,,,37.00,,N,,,,N,Line Length,800mm,,,-1,,,
7HPDQWL5LUEHEH7IJ7KHGU6E,Braided Line Elbow (90 deg) Fitting with 1/8 BSPT Thread,,Regular,,,Braided Brake Line fitting,Brakes & Components (53FLOZODZHPYGPD7K47WR7HN),Brakes & Components (53FLOZODZHPYGPD7K47WR7HN),,,,,unavailable,Physical good,,,,N,N,N,N,10.50,,N,,,,N,,,,,4,,,
VZVH3J5SUKOQ234VQ6CSCYNB,Brake Caliper - 4 Spot,,Regular,,CB4J,"4 Piston Caliper with pad spring return, 80mm mounting hole centres, side mount only",Brakes & Components (PW4TLN4EDXHANK3MPDNEXNPV),Brakes & Components (PW4TLN4EDXHANK3MPDNEXNPV),,,,,visible,Physical good,,,,Y,,,Y,430.00,,N,,N,,N,,,,,,,,
PMI4HCXOFB3DOV7UYMWI7UMJ,Brake Caliper for  18mm Disc - 4 spot,,Regular,,CB4K18-BB,"Self-retracting, 86mm mounting hole centres - Black, Braided Fittings","Brakes & Components (53FLOZODZHPYGPD7K47WR7HN), Brakes & Components (PW4TLN4EDXHANK3MPDNEXNPV)",Brakes & Components (53FLOZODZHPYGPD7K47WR7HN),,,,,visible,Physical good,,,,Y,N,N,Y,440.00,,N,,N,,N,,,,,1,,,
J7EBVAPRHT2QD3PSN4SS5NHT,Brake Caliper for 12mm disc - 4 spot,,Regular,,CB4K12-BB,Braided Fittings,Brakes & Components (53FLOZODZHPYGPD7K47WR7HN),Brakes & Components (53FLOZODZHPYGPD7K47WR7HN),,,,,visible,Physical good,,,,Y,N,N,Y,440.00,,N,,,,N,,,,,2,,,
